name,file_path,start_line,complexity,method,oom
Annotated,./third_party/cpython/Lib/typing.py,2153,Unknown,numeric,False
ApplyKeybindings,./third_party/cpython/Lib/idlelib/editor.py,914,O(n^2),numeric,True
Concatenate,./third_party/cpython/Lib/typing.py,789,Unknown,numeric,False
CreateConfigHandlers,./third_party/cpython/Lib/idlelib/config.py,169,Unknown,numeric,False
DER_cert_to_PEM_cert,./third_party/cpython/Lib/ssl.py,1483,O(n),numeric,False
DateFromTicks,./third_party/cpython/Lib/sqlite3/dbapi2.py,39,O(1),numeric,False
DocFileTest,./third_party/cpython/Lib/doctest.py,2539,Unknown,numeric,False
DocTestSuite,./third_party/cpython/Lib/doctest.py,2462,Unknown,numeric,False
GetCurrentKeySet,./third_party/cpython/Lib/idlelib/config.py,539,O(n),numeric,False
GetExtensionBindings,./third_party/cpython/Lib/idlelib/config.py,508,Unknown,numeric,False
GetExtensions,./third_party/cpython/Lib/idlelib/config.py,413,Unknown,numeric,False
GetExtnNameForEvent,./third_party/cpython/Lib/idlelib/config.py,458,O(n),numeric,False
GetExtraHelpSourceList,./third_party/cpython/Lib/idlelib/config.py,690,Unknown,numeric,False
GetKeyBinding,./third_party/cpython/Lib/idlelib/config.py,528,O(n),numeric,False
GetKeySet,./third_party/cpython/Lib/idlelib/config.py,556,Unknown,numeric,False
GetSubList,./third_party/cpython/Lib/idlelib/stackviewer.py,102,O(n),numeric,False
GetSubList,./third_party/cpython/Lib/idlelib/debugobj.py,45,O(n),numeric,False
GetSubList,./third_party/cpython/Lib/idlelib/debugobj.py,64,O(n^3),numeric,False
GetSubList,./third_party/cpython/Lib/idlelib/debugobj.py,83,O(n),numeric,False
GetSubList,./third_party/cpython/Lib/idlelib/pathbrowser.py,54,O(n),numeric,False
GetSubList,./third_party/cpython/Lib/idlelib/tree.py,431,O(n),numeric,False
GetText,./third_party/cpython/Lib/idlelib/stackviewer.py,55,O(n),numeric,False
GetThemeDict,./third_party/cpython/Lib/idlelib/config.py,290,Unknown,numeric,False
GetUserCfgDir,./third_party/cpython/Lib/idlelib/config.py,179,Unknown,numeric,False
IS_LINE_JUNK,./third_party/cpython/Lib/difflib.py,1041,Unknown,numeric,False
Int2AP,./third_party/cpython/Lib/imaplib.py,1788,O(1),numeric,False
Internaldate2tuple,./third_party/cpython/Lib/imaplib.py,1753,Unknown,numeric,False
JSONArray,./third_party/cpython/Lib/json/decoder.py,221,Unknown,numeric,False
JSONObject,./third_party/cpython/Lib/json/decoder.py,137,Unknown,numeric,False
Literal,./third_party/cpython/Lib/typing.py,738,O(n log n),numeric,True
Load,./third_party/cpython/Lib/idlelib/config.py,74,Unknown,numeric,False
MakeProxyType,./third_party/cpython/Lib/multiprocessing/managers.py,965,O(n),numeric,True
MultiCallCreator,./third_party/cpython/Lib/idlelib/multicall.py,314,O(n),numeric,False
OutputString,./third_party/cpython/Lib/http/cookies.py,374,O(n^3),numeric,True
PEM_cert_to_DER_cert,./third_party/cpython/Lib/ssl.py,1493,Unknown,numeric,False
ParseFlags,./third_party/cpython/Lib/imaplib.py,1801,Unknown,numeric,False
RebuildProxy,./third_party/cpython/Lib/multiprocessing/managers.py,944,O(n),numeric,False
RemoveKeyBindNames,./third_party/cpython/Lib/idlelib/config.py,454,Unknown,numeric,False
RemoveKeybindings,./third_party/cpython/Lib/idlelib/editor.py,899,O(n^2),numeric,True
ResetColorizer,./third_party/cpython/Lib/idlelib/pyshell.py,967,O(n),numeric,False
Save,./third_party/cpython/Lib/idlelib/config.py,126,O(1),numeric,False
SetMenu,./third_party/cpython/Lib/idlelib/dynoption.py,19,O(n log n),numeric,True
SetOption,./third_party/cpython/Lib/idlelib/config.py,84,Unknown,numeric,False
SetText,./third_party/cpython/Lib/idlelib/tree.py,413,O(n),numeric,False
Time2Internaldate,./third_party/cpython/Lib/imaplib.py,1812,O(1),numeric,False
TimeFromTicks,./third_party/cpython/Lib/sqlite3/dbapi2.py,42,O(1),numeric,False
TimestampFromTicks,./third_party/cpython/Lib/sqlite3/dbapi2.py,45,O(1),numeric,False
ToASCII,./third_party/cpython/Lib/encodings/idna.py,66,Unknown,numeric,False
ToUnicode,./third_party/cpython/Lib/encodings/idna.py,117,O(1),numeric,False
TypedDict,./third_party/cpython/Lib/typing.py,3167,Unknown,numeric,False
_85encode,./third_party/cpython/Lib/base64.py,299,Unknown,numeric,False
_CRAM_MD5_AUTH,./third_party/cpython/Lib/imaplib.py,725,Unknown,numeric,False
